uuid,name,price_to_book,peg,pe,country,sector,ebitda_margin,gross_margin,operating_margin,year_pct_change,net_debt,revenue,ebitda,growth_level,growth_trend,ebitda_level,ebitda_trend,capex,total_asset
a405f550-a2f3-4f4b-8510-bf7f2c1cfe20,Palomar Holdings Inc,3.1657958,,15.970712,United States,Financial Services,0.27225,0.28733,0.20298,-0.31265122,240895984.0,980272000.0,266878000.0,0.5815589775810985,2.894754294453139,0.533313161168555,3.175692616701428,7132000.0,2813378500.0
05c9f252-4332-4b17-bc9c-f7f186984826,Twist Bioscience Corp,6.8000546,,,United States,Healthcare,-0.26823,0.52073,-0.34917,0.6179664,-60830008.0,409479008.0,-109835000.0,0.20320537808252448,-0.05361890270625488,,,39553000.0,649941250.0
98375668-4723-4e5f-a482-f70c0b0a3d14,Red Rock Resorts Inc - Class A,21.126875,1.69,16.812902,United States,Consumer Cyclical,0.40115002,0.67508006,0.28320998,0.10695076,3475832048.0,2020941056.0,810697984.0,0.08101800486324484,0.03126464081658231,0.09891520208156068,10.59843399024006,320647000.0,4095424500.0
254ffde7-614c-4881-a16b-11a553d46f2f,SFL Corporation Ltd,1.7288557,,52.125004,Bermuda,Industrials,0.5748,0.58501,0.25941,0.4344828,2370867096.0,707352000.0,406585984.0,-0.06690952265306671,-1.5318804093789262,0.01501248657010451,-3.230650072062934,57828000.0,3749025750.0
a51fb48a-df6b-408f-b850-d3b8cae9a997,Seacoast Banking Corp Of Florida,1.0784454,1.58,20.261745,United States,Financial Services,0.0,0.0,0.38515,0.15863144,427889984.0,630014016.0,,0.16460194602585698,-0.47350738886986904,0.1777562601777794,-5.872422097719098,8259000.0,18652334250.0
9889e050-91e4-4c5c-91b3-5264fab484e6,Fresh Del Monte Produce Inc,0.768797,2.35,22.565517,Cayman Islands,Consumer Defensive,0.05747,0.09276,0.03505,-0.038757384,562599968.0,4268000000.0,245300000.0,-0.009373481148887919,0.8059828201067573,0.00029785281561528487,-1.3488136693298245,68200000.0,3172975000.0
af74b92e-4113-478a-9f9e-5d8aed856411,Easyjet plc,0.73175246,0.88,5.272727,United Kingdom,Industrials,0.09954,0.34732,0.16312,-0.3708166,-601999872.0,10106000384.0,1006000000.0,0.11244455463258962,-0.7943717275028356,0.1114978692810713,-0.8131468874444792,,8572250000.0
eb5e46c8-f70c-488d-9168-aaa79c5c5971,Atlanta Braves Holdings Inc - Class C,6.3181314,,,United States,Communication Services,0.12922,0.31195,-0.57287,0.22181821,681857984.0,757288000.0,97855000.0,0.10523456879537929,0.1886723802398413,0.06403404507144028,0.5884955078198955,51333000.0,1662930750.0
c7cd569b-0305-4c35-8681-aac3c19e34ec,S & T Bancorp Inc,1.1311258,1.23,12.435393,United States,Financial Services,0.0,0.0,0.44781,0.13113892,-186680992.0,398656000.0,,0.0474876852423487,0.006978620291354964,-0.05049329985310125,-1.7555833868695585,4011000.0,9860633750.0
0d34f2cb-296d-42ce-88e0-c82d4281365c,Atlanta Braves Holdings Inc - Class A,6.742059,,,United States,Communication Services,0.12922,0.31195,-0.57287,0.2107271,681857984.0,757288000.0,97855000.0,0.10523456879537929,0.1886723802398413,0.06403404507144028,0.5884955078198955,51333000.0,1662930750.0
be4a1bed-2cee-4520-9070-e7caf2512e3d,Alexander & Baldwin Inc,,,,,,,,,,,,,,,,,,
5573f81e-c988-4432-9987-52cbdad1342d,Sleep Number Corp,-0.061252713,1.99,,United States,Consumer Cyclical,0.030079998,0.5811,-0.047399998,-0.8294829,952272992.0,1337176064.0,40218000.0,-0.16099782677959174,0.7605572627383327,-0.14005391666221312,0.47392009203060154,15249000.0,718742000.0
5a4d484f-d466-44db-87cb-488e7488f916,C&C Group,,,,,,,,,,,,,,,,,,
